fov,cell_ID,TGFB2,KRT20,TLR5,PTGES,ADGRL4,DUSP1,NPPB,TNFRSF14,DHRS2,ACKR4,ACE,CCL7,LAIR1,SELENOP,KRT16,PARP1,IGF2,HCAR3,EFNA5,HSP90B1
1,5001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5002,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,5003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5004,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,5005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5006,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,5007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5008,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5015,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,5019,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,5020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5023,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5024,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,5025,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5028,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,5029,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5030,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5031,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,5033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5034,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5035,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,5036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5037,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0
1,5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5039,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5040,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5041,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5044,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,5045,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5047,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5049,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1
1,5050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5051,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,5052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5054,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
1,5055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5059,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0
1,5060,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0
1,5061,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,5062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5064,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1,5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5070,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5074,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,5075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,5077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5079,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,5080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5081,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,5082,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5083,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5085,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5088,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
1,5089,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5091,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
1,5092,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5099,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5100,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,5101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5102,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,5103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5107,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,5111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5114,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
1,5128,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4
1,5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5131,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5133,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,5134,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
1,5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5137,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,5139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5140,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5141,0,1,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0
1,5142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,5152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5153,1,0,1,0,0,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0
1,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,5159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5163,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,5164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5172,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5177,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,5178,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5179,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,5184,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5185,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5186,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,5187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5188,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,5189,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,5190,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
