fov,cell_ID,Area,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px
1,5001,3347,3496,930,5229.333333,137685.5556
1,5002,4046,3579,939,5312.333333,137694.5556
1,5003,3320,3849,935,5582.333333,137690.5556
1,5004,4268,3901,925,5634.333333,137680.5556
1,5005,1998,4303,932,6036.333333,137687.5556
1,5006,2688,4483,935,6216.333333,137690.5556
1,5007,2135,2563,934,4296.333333,137689.5556
1,5008,5318,3623,911,5356.333333,137666.5556
1,5009,964,4056,935,5789.333333,137690.5556
1,5010,1645,1447,922,3180.333333,137677.5556
1,5011,2032,3394,918,5127.333333,137673.5556
1,5012,1289,1354,926,3087.333333,137681.5556
1,5013,2992,1404,904,3137.333333,137659.5556
1,5014,1565,1314,913,3047.333333,137668.5556
1,5015,3676,5270,907,7003.333333,137662.5556
1,5016,861,1243,917,2976.333333,137672.5556
1,5017,2019,1492,901,3225.333333,137656.5556
1,5018,2294,4192,909,5925.333333,137664.5556
1,5019,2154,1524,896,3257.333333,137651.5556
1,5020,6977,5210,871,6943.333333,137626.5556
1,5021,2232,3559,883,5292.333333,137638.5556
1,5022,1803,1353,881,3086.333333,137636.5556
1,5023,2887,4746,872,6479.333333,137627.5556
1,5024,1254,1453,880,3186.333333,137635.5556
1,5025,1151,1382,876,3115.333333,137631.5556
1,5026,4072,3917,858,5650.333333,137613.5556
1,5027,2778,4402,864,6135.333333,137619.5556
1,5028,924,709,883,2442.333333,137638.5556
1,5029,1552,1428,861,3161.333333,137616.5556
1,5030,1877,707,854,2440.333333,137609.5556
1,5031,1795,753,861,2486.333333,137616.5556
1,5032,3331,1650,855,3383.333333,137610.5556
1,5033,1167,3519,854,5252.333333,137609.5556
1,5034,4062,3112,855,4845.333333,137610.5556
1,5035,2538,1479,842,3212.333333,137597.5556
1,5036,4642,2086,842,3819.333333,137597.5556
1,5037,4656,3576,831,5309.333333,137586.5556
1,5038,1191,3497,843,5230.333333,137598.5556
1,5039,2774,739,809,2472.333333,137564.5556
1,5040,3152,3655,813,5388.333333,137568.5556
1,5041,1696,3184,819,4917.333333,137574.5556
