"cell","CXCR2","CLCA1","SIGLEC1","EPHB3","IL23A","CCR8","MUC4","SERPINA1","GZMK","FCGR3A","IKZF2","Blank.19","HLA.DQA1","KDR","IKZF4","PKM","ITGA4","Blank.27","MARCO","HLA.DRA"
40059,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,26,0,0,0,3
70865,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,13,0,0,0,1
7378,0,0,0,4,0,0,0,13,0,0,1,1,1,0,1,43,0,0,0,6
31348,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49385,0,0,0,0,0,0,0,2,0,3,1,0,1,0,0,1,0,0,3,19
53386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51747,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0
20571,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25554,0,0,0,3,0,0,0,12,0,0,0,1,0,0,0,24,0,0,0,11
54791,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0
32594,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,29,0,0,0,3
36982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
32542,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,38,0,0,0,7
37753,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,1
32237,0,0,0,2,0,0,1,16,0,0,0,0,0,0,0,36,0,0,0,6
1912,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,40,0,0,0,1
65763,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,1
53519,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,0,5
29155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0
3824,0,0,0,0,0,0,2,23,0,0,0,1,1,1,0,41,0,0,0,4
36076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
44413,0,1,0,2,2,0,0,9,0,0,0,0,0,0,0,27,0,0,1,14
28226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
57096,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1
17114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
59535,0,0,0,1,5,0,0,6,0,0,0,0,0,0,0,17,0,0,0,7
53088,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,3
28611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0
44494,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,41,1,0,0,6
59239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
45940,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,13,0,1,0,1
61381,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,51,0,0,0,2
62364,0,0,1,0,1,0,0,30,0,0,2,0,0,0,1,51,0,1,1,7
64131,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,0,0,0,4
38206,0,0,0,4,0,0,0,7,0,1,1,0,0,0,0,19,0,0,0,3
57149,0,0,0,0,1,0,0,19,0,0,1,0,0,0,0,79,0,2,0,7
19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
27136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1
3788,0,0,0,1,1,0,0,16,0,1,2,0,0,0,0,55,0,0,0,25
29040,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,3
44454,1,0,0,0,0,1,0,15,0,1,2,1,1,0,0,47,0,0,0,10
13345,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,1
44941,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,16,0,0,0,1
57136,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,60,0,0,0,1
11336,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,25,0,0,0,4
10188,0,0,0,1,0,0,0,28,0,2,2,0,1,0,0,70,0,0,0,23
24033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40469,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
23163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
19301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32688,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,5
23797,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
32285,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,4
60661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2
67629,0,0,0,2,0,0,0,6,0,1,1,0,0,0,0,14,0,0,0,5
15093,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,8,0,0,0,5
58168,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,32,1,0,0,16
25991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23,1,0,0,0
56727,0,0,0,0,1,0,0,6,0,3,0,0,0,0,0,19,0,0,1,15
9466,0,0,0,1,0,0,0,15,0,3,0,1,1,0,1,47,0,0,0,13
14313,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,11,0,0,0,5
21713,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,58,0,0,0,4
4512,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,34,0,0,0,4
61096,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,1
26487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
14013,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,16,0,0,0,9
18466,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,4
10844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
63247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
71036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
59906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34350,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41,1,0,0,1
26523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
