"X","fov","volume","center_x","center_y"
7680,1413,1041.55029691187,10087.6125569536,5667.56749411864
26448,1414,1192.03428973541,9880.52951804393,5697.55886389736
26487,1414,406.187420888858,9753.93014298838,5752.2486796637
26613,1416,453.789942464123,9500.23421510265,5705.50215946697
25985,1421,728.308359537428,9215.35195082044,5802.86350559365
25991,1421,106.483562446197,9205.48703532297,5810.91698980969
26247,1421,430.667270404503,9247.34918258181,5913.34961777663
26001,1422,386.054115388438,9412.75180146896,5823.45608902415
26523,1422,570.62465739948,9519.09620979334,5847.54378485043
7707,1424,677.852229991968,9899.8163119579,5890.63633508391
4,1427,750.457170106993,10375.9562047017,5776.03668821133
78,1427,652.420882050493,10502.4058014145,5912.38847575904
26287,1436,311.863785641007,9320.19636746647,5995.57589939352
8820,1436,298.394820840141,9293.33278149877,6157.95542347567
25675,1437,191.184231709891,8196.48586896672,6120.71756140711
27292,1438,1347.78840203352,8091.62186588256,6075.47834570729
27572,1438,452.73374789497,8106.77907464421,6182.60334643051
26794,1442,947.223666662307,7297.75775922035,6178.79964657697
26929,1442,300.385991175213,7305.83934636286,6033.69289845476
29729,1444,902.613950026955,6817.06161739446,6127.90714360133
29334,1445,943.887760424467,6615.24459079207,6046.72093885635
29668,1447,2059.90834000579,6426.57828444781,6420.8033088402
29513,1448,1162.13931384644,6657.09132754662,6230.44474417547
29823,1448,1060.48829142027,6726.6306836466,6271.84345820418
27000,1450,494.061839385793,7100.97522999299,6390.28040573756
27136,1453,1358.5897884352,7686.40264005972,6342.29311025362
8667,1459,896.785876823398,9227.73424260596,6390.74212994034
8454,1460,453.332089421265,9378.29685878949,6223.74199315509
9019,1460,665.576541335673,9383.378142089,6368.10690931514
9053,1460,183.095320299081,9392.02502349463,6378.71636868844
30015,1473,571.615291224483,9844.47238354667,6581.71498737475
243,1474,190.408983630387,9621.59294395044,6397.47676951177
255,1474,1898.65223752423,9729.45569315757,6435.72522955525
29955,1474,337.346811807802,9601.19442986463,6453.83828910403
30351,1474,422.741728905139,9728.85056949375,6540.67225442902
29980,1475,1626.89456878273,9526.60649200204,6506.70020525266
36596,1475,270.515919005922,9419.13574366042,6426.70702275193
28814,1477,484.960631624956,8983.18067761806,6553.15568568825
36076,1477,597.254921162925,9016.82049127345,6407.818170476
28842,1478,195.679558772736,8821.36048990093,6578.21073385604
26300,1479,461.80334423339,8540.24060830956,6494.22882949964
31443,1483,856.616994998359,7723.05912547137,6509.4030273984
34350,1484,2610.23058652317,7464.98305613268,6446.03881468555
34521,1484,1659.47623488057,7532.16318726884,6568.8571832226
34971,1484,521.147891465819,7345.06580340204,6611.47121095563
30922,1488,608.097038032602,6578.32637434066,6487.19071569546
33553,1489,1376.58724654788,6428.38818600433,6467.33904375914
28504,1491,994.898627357908,5419.75178862763,6746.42543105872
28611,1491,655.921527581025,5404.02797995192,6672.68625448172
33045,1493,662.49620833231,5813.78298390894,6765.85620672575
33280,1493,734.861672892926,5775.30215275533,6650.1864628517
33739,1494,1190.12757846485,6100.22388432722,6718.11729460728
33780,1495,627.210360073945,6308.89451070706,6748.19049218598
35995,1499,318.872385762691,7041.85860738582,6791.77839194506
35930,1500,963.570612365229,7224.39056195238,6677.64191834004
34706,1501,2218.04316280115,7468.32332774324,6750.84830638497
35038,1502,561.546080907897,7664.08760799287,6764.0324070407
29155,1508,702.639913770664,8941.10317252669,6611.47075558156
29159,1508,593.905454212234,8797.68882121858,6619.98352821077
36430,1510,365.992568740788,9166.53643610065,6708.72374827387
30165,1511,547.712296383275,9511.0512446505,6777.85729704899
30131,1513,860.571895053016,9848.11376054493,6748.2703353585
942,1514,680.288125657958,9959.43291906533,6756.55748452415
972,1514,378.244146921815,9982.05309410732,6781.04540383549
